,trans_date,data
ef1bcca724f3,5/19/2016,226301.7974
ef1bcca724f3,5/20/2016,272582.7787
ef1bcca724f3,5/21/2016,325329.6294
ef1bcca724f3,5/22/2016,286308.8916
ef1bcca724f3,5/23/2016,146211.0726
ef1bcca724f3,5/24/2016,162347.0114
ef1bcca724f3,5/25/2016,182044.2348
ef1bcca724f3,5/26/2016,213928.8776
ef1bcca724f3,5/27/2016,279990.4146
ef1bcca724f3,5/28/2016,298621.5466
ef1bcca724f3,5/29/2016,271909.8849
ef1bcca724f3,5/30/2016,184619.8743
ef1bcca724f3,5/31/2016,149250.3745
ef1bcca724f3,6/1/2016,178143.2835
ef1bcca724f3,6/2/2016,213927.0706
ef1bcca724f3,6/3/2016,278860.7686
ef1bcca724f3,6/4/2016,336915.4035
ef1bcca724f3,6/5/2016,259383.0588
ef1bcca724f3,6/6/2016,164043.7718
ef1bcca724f3,6/7/2016,181695.9065
ef1bcca724f3,6/8/2016,213150.0248
ef1bcca724f3,6/9/2016,233108.2988
ef1bcca724f3,6/10/2016,268066.4752
ef1bcca724f3,6/11/2016,326287.5059
ef1bcca724f3,6/12/2016,264983.7658
ef1bcca724f3,6/13/2016,181249.0692
ef1bcca724f3,6/14/2016,162322.8333
ef1bcca724f3,6/15/2016,200944.0454
ef1bcca724f3,6/16/2016,223144.1751
ef1bcca724f3,6/17/2016,300627.0129
ef1bcca724f3,6/18/2016,362853.4631
ef1bcca724f3,6/19/2016,414469.6684
ef1bcca724f3,6/20/2016,171858.8013
ef1bcca724f3,6/21/2016,181933.0169
ef1bcca724f3,6/22/2016,194648.6119
ef1bcca724f3,6/23/2016,202186.0682
ef1bcca724f3,6/24/2016,260299.8043
ef1bcca724f3,6/25/2016,329750.1216
ef1bcca724f3,6/26/2016,252528.1874
ef1bcca724f3,6/27/2016,178215.3422
ef1bcca724f3,6/28/2016,171921.5516
ef1bcca724f3,6/29/2016,164825.035
ef1bcca724f3,6/30/2016,222661.1268
ef1bcca724f3,7/1/2016,267163.8121
ef1bcca724f3,7/2/2016,262630.9172
ef1bcca724f3,7/3/2016,233923.9622
ef1bcca724f3,7/4/2016,206102.5391
ef1bcca724f3,7/5/2016,164317.0582
ef1bcca724f3,7/6/2016,189504.8579
ef1bcca724f3,7/7/2016,209471.7077
ef1bcca724f3,7/8/2016,259174.3943
